0	0
10	3584959950
20	6267851865
30	7627919145
40	10622398380
50	14016880680
60	17255569320
70	19008532290
80	19403986635
90	20062129560
100	21057162060
110	22627323345
120	24637004700
130	26318893920
140	28107678060
150	30468748035
160	31767976185
170	34014759570
180	37449327465
190	41364638205
200	42740057415
210	45063600450
220	48564409080
230	52016603265
240	53557766460
250	55714144035
260	57254170050
270	58562495640
280	61135649685
290	63618682215
300	66795963135
310	69476580690
320	74363327445
330	78265844910
340	80113762410
